Epoch 0: Avg Critic Loss = 154.7076852718989, Avg Actor Loss = 0.3266775341083606, Avg Reward = 11.556897148912654, Theta = 1.0
Epoch 1: Avg Critic Loss = 116.35315243403117, Avg Actor Loss = 0.32669792634745437, Avg Reward = 10.201010355529357, Theta = 1.0
Epoch 2: Avg Critic Loss = 12.774453269434161, Avg Actor Loss = 0.3264500591903925, Avg Reward = 1.9537520834993682, Theta = 1.0
Epoch 3: Avg Critic Loss = 688.0475880826513, Avg Actor Loss = 0.3261245544999838, Avg Reward = 23.305044030586995, Theta = 1.0
Epoch 4: Avg Critic Loss = 2458.9827613830566, Avg Actor Loss = 0.3274051484962304, Avg Reward = 40.62680566374731, Theta = 1.0
Epoch 5: Avg Critic Loss = 11100.163289388021, Avg Actor Loss = 0.3262205800662438, Avg Reward = 105.30519538624236, Theta = 1.0
Epoch 6: Avg Critic Loss = 11624.494425455729, Avg Actor Loss = 0.32661354914307594, Avg Reward = 107.76773372884081, Theta = 1.0
Epoch 7: Avg Critic Loss = 10306.798828125, Avg Actor Loss = 0.327186440428098, Avg Reward = 101.43665368314875, Theta = 1.0
Epoch 8: Avg Critic Loss = 10264.277669270834, Avg Actor Loss = 0.32641218851010007, Avg Reward = 101.23767833064072, Theta = 1.0
Epoch 9: Avg Critic Loss = 9137.996317545572, Avg Actor Loss = 0.3268737954397996, Avg Reward = 95.52125116011898, Theta = 1.0
Epoch 10: Avg Critic Loss = 7238.412221272786, Avg Actor Loss = 0.3260152190923691, Avg Reward = 83.76145372724002, Theta = 1.0
Epoch 11: Avg Critic Loss = 2674.9795430501304, Avg Actor Loss = 0.32571395362416905, Avg Reward = 51.681861950487594, Theta = 1.0
Epoch 12: Avg Critic Loss = 1994.5894012451172, Avg Actor Loss = 0.3258981555700302, Avg Reward = 44.59162889865527, Theta = 1.0
Epoch 13: Avg Critic Loss = 2012.8098246256511, Avg Actor Loss = 0.3260097876191139, Avg Reward = 44.757136030552374, Theta = 1.0
Epoch 14: Avg Critic Loss = 1597.5304158528645, Avg Actor Loss = 0.32554684206843376, Avg Reward = 39.10526226983624, Theta = 1.0
Epoch 15: Avg Critic Loss = 1283.3709958394368, Avg Actor Loss = 0.3259783772130807, Avg Reward = 34.04087178416041, Theta = 1.0
Epoch 16: Avg Critic Loss = 4777.019226074219, Avg Actor Loss = 0.3268008592228095, Avg Reward = 68.46640456644927, Theta = 1.0
Epoch 17: Avg Critic Loss = 5277.695902506511, Avg Actor Loss = 0.32568400974075, Avg Reward = 71.05752791519429, Theta = 1.0
Epoch 18: Avg Critic Loss = 1759.0914662679036, Avg Actor Loss = 0.32533175063629943, Avg Reward = 41.78303447988743, Theta = 1.0
Epoch 19: Avg Critic Loss = 3062.129913330078, Avg Actor Loss = 0.3265115910520156, Avg Reward = 54.69236727064746, Theta = 1.0
Epoch 20: Avg Critic Loss = 5729.891215006511, Avg Actor Loss = 0.32624805967013043, Avg Reward = 75.68453069949963, Theta = 1.0
Epoch 21: Avg Critic Loss = 4873.752095540364, Avg Actor Loss = 0.32635942039390403, Avg Reward = 69.74827037083975, Theta = 1.0
Epoch 22: Avg Critic Loss = 3425.057413736979, Avg Actor Loss = 0.3258176998545726, Avg Reward = 58.205859388442406, Theta = 1.0
Epoch 23: Avg Critic Loss = 2271.0093892415366, Avg Actor Loss = 0.32614372360209626, Avg Reward = 47.58318158069273, Theta = 1.0
Epoch 24: Avg Critic Loss = 4107.67236328125, Avg Actor Loss = 0.32582891173660755, Avg Reward = 63.74995486212248, Theta = 1.0
Epoch 25: Avg Critic Loss = 4529.794626871745, Avg Actor Loss = 0.3266008161008358, Avg Reward = 67.16587788685523, Theta = 1.0
Epoch 26: Avg Critic Loss = 5465.131642659505, Avg Actor Loss = 0.3259034634878238, Avg Reward = 73.42355427011653, Theta = 1.0
Epoch 27: Avg Critic Loss = 3248.937540690104, Avg Actor Loss = 0.3258901312947273, Avg Reward = 56.83081430532723, Theta = 1.0
Epoch 28: Avg Critic Loss = 4098.7553304036455, Avg Actor Loss = 0.3258888926357031, Avg Reward = 64.02656581499527, Theta = 1.0
Epoch 29: Avg Critic Loss = 3485.373016357422, Avg Actor Loss = 0.3260992964108785, Avg Reward = 58.87472363569872, Theta = 1.0
Epoch 30: Avg Critic Loss = 3174.2259216308594, Avg Actor Loss = 0.3260714753220479, Avg Reward = 56.00353581941482, Theta = 1.0
Epoch 31: Avg Critic Loss = 5401.1631266276045, Avg Actor Loss = 0.32713056541979313, Avg Reward = 73.39709040474638, Theta = 1.0
Epoch 32: Avg Critic Loss = 5910.663513183594, Avg Actor Loss = 0.3260656191656987, Avg Reward = 76.46438808997414, Theta = 1.0
